KEY,EMG,IMU
3585,419,19.58
3586,399,26.58
3587,442,26.58
3588,440,19.91
3589,444,19.58
3590,445,5.32
3591,440,5.32
3592,209,26.53
3593,407,19.88
3594,448,19.58
3595,447,19.29
3596,402,5.32
3597,413,19.58
3598,420,5.32
3599,441,4.9
3600,433,5.32
3601,400,19.58
3602,413,5.32
3603,419,19.58
3604,424,24.99
3605,445,5.32
3606,445,14.7
3607,450,5.32
3608,442,19.92
3609,446,24.98
3610,445,5.32
3611,444,19.93
3612,445,5.32
3613,449,4.9
3614,442,19.58
3615,452,19.93
3616,414,19.58
3617,456,5.69
3618,402,19.3
3619,403,19.9
3620,421,19.58
3621,236,5.32
3622,412,5.48
3623,175,19.58
3624,410,19.58
3625,442,26.64
3626,420,26.65
3627,428,26.52
3628,419,5.32
3629,417,4.9
3630,241,5.32
3631,229,19.9
3632,418,19.33
3633,439,19.58
3634,444,24.98
3635,444,19.32
3636,444,14.9
3637,397,5.48
3638,446,24.98
3639,446,19.58
3640,235,19.58
3641,445,5.32
3642,443,5.32
3643,448,19.91
3644,441,19.58
3645,192,19.58
3646,400,12.05
3647,399,12.61
3648,256,19.93
3649,278,19.91
3650,444,26.65
3651,447,5.48
3652,443,27.76
3653,442,5.32
3654,444,5.32
3655,445,19.58
3656,446,5.48
3657,443,15.84
3658,491,19.58
3659,445,9.96
3660,448,19.93
3661,437,19.93
3662,446,4.93
3663,449,19.33
3664,447,12.05
3665,450,19.33
3666,443,19.58
3667,437,21.93
3668,405,5.32
3669,226,5.32
3670,414,27.75
3671,423,19.93
3672,401,0.02
3673,415,5.32
3674,409,19.58
3675,398,5.32
3676,441,19.58
3677,449,19.92
3678,416,5.32
3679,304,0.05
3680,427,5.32
3681,212,19.58
3682,435,19.58
3683,432,26.54
3684,444,19.91
3685,444,26.56
3686,444,19.91
3687,439,19.58
3688,447,19.33
3689,445,24.98
3690,434,19.31
3691,449,5.32
3692,447,19.93
3693,440,9.96
3694,419,19.93
3695,410,5.32
3696,409,19.58
3697,445,19.58
3698,446,21.93
3699,409,19.9
3700,401,5.32
3701,409,5.32
3702,426,5.32
3703,444,19.58
3704,191,19.93
3705,420,26.52
3706,420,18.26
3707,426,14.41
3708,460,5.32
3709,448,19.58
3710,445,4.9
3711,452,24.99
3712,445,24.98
3713,444,5.32
3714,443,19.9
3715,426,2.45
3716,258,24.99
3717,240,5.48
3718,401,19.58
3719,399,4.93
3720,417,19.58
3721,184,4.9
3722,406,5.32
3723,423,5.99
3724,421,5.32
3725,398,19.58
3726,406,19.3
3727,235,26.66
3728,280,5.32
3729,448,19.91
3730,428,19.92
3731,420,19.58
3732,423,5.69
3733,426,19.58
3734,433,19.58
3735,416,5.32
3736,415,19.93
3737,447,24.98
3738,447,0.2
3739,445,19.58
3740,445,19.91
3741,421,5.32
3742,404,26.52
3743,399,26.57
3744,399,19.58
3745,409,5.48
3746,415,5.32
3747,410,26.58
3748,267,19.3
3749,246,5.32
3750,281,19.58
3751,427,19.34
3752,444,17.71
3753,420,19.58
3754,223,19.92
3755,443,19.58
3756,447,0.0
3757,424,5.32
3758,428,27.76
3759,447,19.58
3760,434,19.58
3761,445,24.98
3762,446,19.58
3763,449,10.4
3764,444,19.93
3765,442,19.58
3766,436,26.66
3767,450,19.58
3768,451,19.93
3769,410,5.32
3770,399,19.91
3771,209,19.58
3772,406,24.98
3773,198,24.98
3774,401,24.27
3775,407,26.51
3776,422,19.33
3777,431,19.93
3778,257,19.91
3779,322,5.32
3780,419,21.93
3781,423,5.32
3782,275,19.88
3783,424,14.7
3784,431,26.64
3785,441,5.99
3786,444,19.58
3787,437,19.91
3788,444,19.58
3789,445,19.93
3790,449,5.32
3791,289,19.58
3792,421,19.58
3793,252,19.58
3794,300,2.45
3795,447,19.91
3796,444,19.93
3797,418,5.32
3797,407,19.31
3799,401,5.99
3800,426,5.32
3801,420,19.31
3802,196,19.58
3803,215,19.58
3804,453,19.5
3805,421,19.58
3806,445,4.9
3807,444,19.58
3808,410,19.93
3809,445,19.93
3810,446,19.58
3811,410,5.32
3812,404,19.29
3813,195,19.58
3814,451,5.32
3815,446,5.32
3816,407,27.76
3817,418,5.32
3818,415,19.58
3819,235,19.58
3820,434,19.58
3821,407,4.9
3822,412,19.58
3823,413,19.93
3824,423,26.51
3825,420,10.4
3826,421,19.93
3827,437,5.32
3828,447,19.93
3829,449,19.93
3830,444,19.32
3831,460,5.48
3832,444,19.93
3833,443,5.32
3834,400,26.56
3835,419,4.9
3836,439,5.99
3837,442,19.58
3838,398,19.91
3839,401,19.58
3840,406,19.9
3841,407,5.32
3842,423,5.69
3843,264,5.32
3844,419,19.58
3845,411,19.58
3846,445,19.93
3847,421,5.32
3848,432,5.32
3849,423,5.32
3850,430,5.32
3851,446,19.93
3852,444,27.72
3853,445,19.93
3854,446,5.32
3855,424,24.99
3856,429,5.32
3857,449,24.99
3858,445,19.58
3859,435,19.92
3860,409,18.2
3861,403,26.64
3862,447,19.93
3863,444,19.58
3864,404,19.58
3865,409,19.58
3866,448,5.32
3867,420,19.91
3868,448,5.32
3869,398,0.2
3870,400,19.58
3871,217,19.31
3872,199,26.57
3873,341,12.04
3874,423,0.0
3875,443,5.32
3876,445,2.45
3877,297,5.32
3878,282,27.76
3879,420,19.93
3880,412,19.92
3881,403,19.58
3882,401,5.32
3883,447,24.98
3884,444,5.32
3885,446,19.58
3886,407,19.58
3887,445,19.58
3888,429,5.32
3889,445,19.92
3890,424,5.32
3891,447,10.68
3892,201,5.32
3893,248,19.93
3894,442,5.32
3895,425,19.58
3896,179,19.58
3897,447,5.48
3898,447,0.0
3899,446,5.32
3900,437,5.32
3901,446,24.98
3902,244,19.93
3903,442,5.32
3904,422,19.31
3905,403,19.93
3906,403,24.99
3907,430,24.27
3908,422,24.29
3909,446,24.99
3910,402,24.99
3911,418,19.58
3912,412,26.64
3913,445,19.93
3914,216,26.52
3915,447,10.4
3916,429,27.78
3917,433,5.32
3918,422,19.58
3919,424,5.32
3920,446,19.33
3921,431,12.04
3922,420,5.32
3923,445,27.78
3924,443,5.32
3925,491,19.33
3926,442,12.05
3927,446,5.48
3928,454,26.52
3929,452,10.4
3930,443,19.93
3931,411,5.32
3932,448,19.93
3933,411,19.58
3934,409,14.7
3935,400,19.58
3936,443,5.32
3937,409,19.58
3938,427,5.32
3939,435,19.91
3940,447,0.0
3941,436,19.58
3942,425,19.58
3943,437,26.64
3944,193,19.58
3945,180,19.3
3946,446,5.32
3947,443,19.58
3948,447,19.58
3949,435,19.3
3950,443,19.58
3951,451,19.58
3952,445,19.93
3953,412,26.66
3954,447,19.93
3955,445,5.32
3956,400,19.29
3957,402,5.32
3958,403,5.32
3959,241,26.65
3960,208,19.58
3961,367,14.9
3962,240,19.93
3963,422,5.32
3964,433,0.05
3965,448,19.58
3966,439,0.03
3967,421,19.58
3968,328,26.64
3969,422,27.29
3970,445,4.9
3971,445,19.93
3972,452,19.91
3973,437,19.58
3974,450,5.32
3975,438,19.91
3976,444,19.58
3977,447,5.32
3978,427,26.65
3979,447,24.98
3980,402,5.32
3981,400,19.3
3982,408,24.27
3983,432,19.3
3984,409,4.9
3985,420,19.58
3986,412,4.9
3987,409,26.64
3988,424,19.32
3989,221,19.58
3990,445,10.4
3991,447,19.32
3992,445,26.66
3993,443,19.58
3994,444,19.93
3995,402,12.05
3996,401,19.58
3997,451,19.58
3998,445,19.58
3999,445,14.9
4000,448,5.32
4001,449,5.32
4002,409,19.29
4003,443,27.76
4004,448,19.58
4005,419,5.32
4006,427,12.05
4007,406,19.58
4008,412,19.58
4009,422,19.58
4010,414,19.58
4011,379,10.4
4012,217,24.98
4013,403,19.58
4014,418,15.84
4015,439,19.93
4016,437,19.58
4017,427,24.98
4018,437,19.58
4019,445,19.58
4020,446,19.91
4021,442,26.52
4022,450,19.58
4023,425,19.58
4024,438,19.58
4025,445,26.66
4026,419,19.93
4027,441,19.58
4028,445,19.58
4029,400,0.2
4030,402,27.76
4031,404,19.92
4032,399,19.31
4033,408,26.52
4034,419,19.58
4035,401,19.58
4036,448,26.58
4037,421,5.32
4038,424,5.32
4039,166,5.32
4040,244,19.93
4041,446,19.58
4042,436,19.58
4043,444,19.88
4044,432,0.0
4045,437,14.41
4046,447,19.58
4047,448,19.93
4048,446,19.93
4049,446,19.35
4050,446,14.7
4051,452,19.58
4052,448,12.04
4053,445,5.32
4054,445,5.32
4055,443,19.58
4056,422,19.58
4057,204,19.58
4058,420,19.91
4059,403,19.58
4060,418,26.66
4061,414,5.32
4062,300,19.58
4063,435,19.91
4064,446,18.26
4065,420,5.32
4066,380,19.58
4067,423,19.58
4068,422,19.58
4069,436,19.58
4070,424,5.99
4071,420,19.58
4072,447,19.58
4073,433,19.9
4074,438,19.3
4075,402,5.32
4076,463,5.32
4077,444,19.93
4078,407,19.32
4079,445,19.58
4080,448,10.4
4081,214,24.27
4082,401,19.58
4083,401,26.52
4084,419,19.58
4085,401,12.05
4086,408,5.32
4087,400,19.58
4088,408,12.05
4089,410,19.93
4090,190,24.27
4091,424,24.98
4092,419,19.58
4093,195,27.76
4094,439,19.93
4095,421,19.58
4096,419,19.93
4097,403,5.32
4098,398,24.98
4099,449,19.9
4100,443,5.32
4101,442,19.93
4102,447,5.48
4103,443,24.98
4104,399,19.51
4105,445,17.7
4106,443,5.32
4107,397,14.9
4108,408,24.98
4109,413,19.93
4110,405,26.64
4111,422,10.4
4112,275,24.98
4113,349,5.32
4114,421,19.58
4115,236,24.99
4116,375,20.03
4117,421,19.9
4118,448,5.32
4119,451,27.76
4120,447,19.58
4121,447,19.58
4122,445,19.3
4123,445,26.64
4124,413,19.58
4125,445,5.32
4126,449,5.32
4127,404,19.93
4128,402,27.72
4129,401,19.91
4130,448,27.76
4131,408,19.93
4132,402,16.06
4133,407,24.26
4134,420,27.74
4135,401,19.93
4136,409,5.32
4137,402,19.58
4138,401,5.32
4139,404,19.31
4140,178,19.58
4141,426,19.58
4142,445,15.84
4143,442,5.32
4144,418,19.91
4145,422,19.93
4146,451,19.58
4147,430,19.91
4148,446,5.32
4149,438,5.32
4150,489,12.05
4151,435,19.92
4152,444,19.92
4153,443,27.72
4154,434,19.93
4155,447,27.76
4156,449,19.91
4157,453,5.32
4158,446,19.93
4159,425,19.93
4160,442,5.32
4161,445,19.93
4162,401,19.58
4163,421,0.22
4164,413,19.58
4165,442,10.4
4166,444,19.58
4167,425,19.93
4168,315,5.32
4169,321,19.58
4170,444,18.37
4171,255,5.32
4172,334,17.52
4173,453,26.64
4174,445,19.29
4175,446,19.93
4176,401,5.32
4177,456,19.58
4178,444,5.32
4179,450,19.58
4180,446,5.32
4181,418,19.58
4182,447,19.58
4183,210,19.58
4184,401,19.93
4185,400,19.93
4186,445,5.32
4187,112,19.91
4188,109,19.58
4189,447,5.32
4190,426,19.58
4191,436,14.7
4192,444,10.4
4193,448,19.58
4194,446,5.32
4195,447,26.63
4196,412,19.9
4197,445,5.99
4198,445,19.58
4199,414,5.32
4200,443,17.52
4201,414,19.58
4202,434,19.91
4203,394,19.5
4204,462,27.72
4205,432,4.9
4206,444,24.98
4207,406,5.48
4208,433,19.93
4209,405,0.0
4210,408,19.58
4211,450,19.94
4212,447,19.58
4213,421,19.93
4214,416,24.98
4215,422,5.32
4216,449,5.32
4217,444,19.91
4218,454,10.4
4219,447,2.76
4220,416,19.58
4221,451,19.58
4222,405,19.51
4223,410,19.58
4224,447,5.32
4225,410,5.32
4226,445,19.92
4227,424,19.91
4228,424,19.58
4229,140,24.98
4230,447,19.32
4231,450,5.32
4232,446,10.4
4233,441,19.58
4234,182,27.76
4235,446,19.58
4236,449,19.58
4237,406,5.32
4238,400,5.32
4239,448,0.6
4240,445,22.74
4241,428,19.91
4242,445,5.32
4243,438,26.52
4244,423,24.27
4245,446,19.58
4246,449,5.32
4247,442,14.7
4248,402,19.58
4249,402,19.58
4250,449,26.57
4251,449,19.58
4252,421,19.58
4253,423,5.48
4254,420,19.58
4255,434,19.58
4256,448,26.52
4257,447,27.76
4258,445,26.66
4259,433,19.94
4260,434,19.58
4261,441,19.91
4262,446,19.58
4263,450,5.32
4264,446,15.84
4265,455,26.64
4266,449,14.7
4267,451,4.9
4268,432,19.58
4269,412,5.32
4270,407,19.5
4271,426,19.58
4272,422,19.58
4273,428,4.9
4274,440,14.7
4275,445,10.4
4276,450,24.99
4277,438,18.26
4278,452,19.58
4279,428,26.64
4280,428,19.93
4281,450,19.58
4282,438,14.9
4283,441,26.63
4284,446,19.58
4285,447,19.58
4286,448,26.65
4287,447,26.65
4288,427,19.58
4289,448,19.58
4290,404,10.4
4291,297,19.58
4292,439,19.58
4293,421,5.32
4294,443,19.33
4295,404,19.91
4296,411,5.32
4297,436,19.58
4298,432,4.9
4299,426,19.9
4300,437,27.29
4301,443,26.57
4302,441,5.32
4303,447,5.32
4304,447,24.98
4305,405,19.58
4306,404,24.98
4307,437,12.62
4308,437,5.32
4309,442,5.32
4310,447,10.4
4311,443,14.7
4312,442,19.93
4313,39,19.58
4314,447,19.91
4315,446,19.91
4316,405,5.32
4317,442,5.32
4318,428,17.59
4319,420,5.32
4320,422,19.58
4321,447,26.64
4322,449,19.58
4323,69,5.32
4324,291,19.58
4325,432,27.76
4326,435,19.91
4327,441,5.32
4328,432,19.58
4329,425,10.4
4330,443,19.91
4331,446,26.64
4332,438,5.32
4333,446,19.9
4334,445,19.91
4335,448,24.98
4336,443,4.9
4337,445,19.58
4338,414,19.58
4339,442,19.93
4340,418,4.93
4341,440,5.32
4342,442,18.37
4343,407,15.84
4344,404,19.58
4345,426,19.58
4346,71,5.32
4347,432,19.91
4348,46,19.58
4349,6,14.7
4350,423,5.32
4351,446,19.58
4352,431,26.52
4353,428,5.32
4354,456,24.27
4355,425,19.31
4356,418,19.9
4357,448,19.93
4358,447,19.9
4359,445,19.58
4360,447,26.65
4361,443,26.58
4362,243,10.4
4363,412,19.58
4364,442,19.93
4365,443,19.58
4366,414,5.32
4367,410,19.58
4368,445,24.99
4369,437,19.58
4370,402,19.58
4371,408,19.58
4372,428,0.2
4373,432,10.4
4374,429,19.58
4375,422,19.91
4376,438,26.52
4377,450,19.58
4378,453,5.32
4379,432,19.58
4380,438,10.68
4381,445,19.33
4382,404,26.64
4383,403,24.27
4384,405,5.48
4385,404,5.32
4386,403,24.99
4387,415,19.3
4388,422,19.3
4389,406,5.32
4390,401,26.64
4391,422,19.58
4392,422,27.76
4393,401,5.32
4394,409,4.9
4395,446,19.92
4396,194,2.45
4397,437,19.58
4398,420,19.93
4399,429,19.91
4400,403,14.7
4401,436,19.58
4402,446,10.4
4403,464,14.9
4404,445,5.32
4405,447,5.32
4406,445,19.32
4407,443,5.32
4408,448,19.3
4409,415,19.58
4410,426,19.58
4411,217,19.58
4412,440,26.58
4413,400,19.31
4414,436,27.76
4415,181,19.58
4416,155,4.9
4417,445,24.99
4418,422,19.58
4419,421,19.58
4420,189,4.9
4421,422,27.29
4422,447,19.93
4423,445,5.32
4424,447,7.3
4425,447,4.9
4426,320,19.88
4427,405,27.76
4428,304,19.58
4429,454,27.76
4430,446,26.54
4431,422,24.99
4432,449,5.32
4433,411,19.58
4434,443,0.03
4435,415,19.58
4436,402,17.71
4437,266,5.32
4438,238,19.58
4439,447,19.32
4440,421,19.58
4441,435,27.76
4442,443,19.93
4443,446,19.93
4444,446,19.58
4445,446,26.64
4446,446,5.32
4447,428,15.84
4448,401,5.32
4449,439,19.91
4450,443,19.93
4451,156,5.32
4452,398,19.93
4453,413,0.0
4454,448,19.58
4455,448,24.99
4456,447,0.2
4457,432,5.32
4458,440,19.29
4459,450,5.32
4460,444,5.32
4461,437,19.92
4462,446,19.3
4463,446,5.48
4464,401,19.58
4465,447,5.32
4466,444,19.58
4467,440,19.93
4468,400,19.58
4469,450,17.52
4470,392,7.94
4471,453,2.45
4472,380,19.58
4473,203,18.26
4474,242,19.58
4475,448,19.58
4476,402,19.92
4477,418,19.58
4478,445,19.31
4479,303,19.3
4480,166,19.58
4481,186,19.58
4482,424,19.91
4483,420,24.98
4484,165,19.58
4485,444,19.58
4486,422,19.5
4487,156,21.93
4488,444,24.27
4489,445,19.58
4490,450,27.76
4491,445,4.93
4492,446,19.58
4493,442,19.58
4494,400,19.58
4495,400,12.04
4496,404,19.58
4497,405,5.32
4498,446,21.15
4499,411,19.93
4500,426,5.32
4501,423,14.9
4502,423,5.32
4503,445,26.52
4504,447,27.72
4505,448,21.93
4506,429,5.48
4507,402,5.32
4508,443,19.58
4509,342,26.66
4510,444,19.58
4511,431,19.93
4512,445,19.58
4513,442,5.32
4514,429,19.32
4515,449,19.58
4516,432,19.9
4517,402,5.32
4518,427,5.32
4519,295,19.91
4520,192,5.32
4521,215,19.93
4522,417,19.58
4523,446,19.93
4524,407,19.32
4525,410,19.58
4526,400,19.91
4527,444,19.58
4528,476,26.55
4529,402,5.32
4530,399,19.58
4531,425,27.78
4532,424,19.58
4533,449,19.91
4534,450,19.93
4535,445,5.32
4536,444,0.05
4537,445,19.58
4538,447,19.58
4539,445,14.9
4540,444,19.58
4541,437,19.93
4542,448,19.92
4543,444,19.58
4544,405,5.32
4545,448,19.3
4546,437,19.48
4547,415,26.52
4548,411,19.58
4549,445,19.58
4550,194,19.92
